timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716099670664,37,HTTP Request,200,,Thread Group 3 3-4,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,37,0,0
1716099671536,14,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,13,0,1
1716099671550,10,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099671560,9,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099671569,8,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099671577,14,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,14,0,0
1716099671591,12,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099671603,9,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099671612,18,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,18,0,0
1716099671630,18,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,18,0,0
1716099671648,9,HTTP Request,200,,Thread Group 3 3-5,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099672536,12,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,12,0,1
1716099672548,8,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099672557,9,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099672566,10,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099672576,10,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099672586,10,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099672596,10,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099672606,11,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099672617,8,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099672625,8,HTTP Request,200,,Thread Group 3 3-6,text,true,,6035,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099673537,13,HTTP Request,200,,Thread Group 3 3-7,text,true,,6035,385,1,2,http://localhost:8080/api/v1/categories/all,13,0,1
1716099673550,9,HTTP Request,200,,Thread Group 3 3-7,text,true,,6085,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099673559,8,HTTP Request,200,,Thread Group 3 3-7,text,true,,6135,385,1,2,http://localhost:8080/api/v1/categories/all,8,0,0
1716099673568,8,HTTP Request,200,,Thread Group 3 3-7,text,true,,6135,385,1,2,http://localhost:8080/api/v1/categories/all,8,0,0
1716099673576,9,HTTP Request,200,,Thread Group 3 3-7,text,true,,6185,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099673586,8,HTTP Request,200,,Thread Group 3 3-7,text,true,,6235,385,1,2,http://localhost:8080/api/v1/categories/all,8,0,0
1716099673595,11,HTTP Request,200,,Thread Group 3 3-7,text,true,,6235,385,1,2,http://localhost:8080/api/v1/categories/all,11,0,0
1716099673606,10,HTTP Request,200,,Thread Group 3 3-7,text,true,,6285,385,1,2,http://localhost:8080/api/v1/categories/all,10,0,0
1716099673616,10,HTTP Request,200,,Thread Group 3 3-7,text,true,,6335,385,1,2,http://localhost:8080/api/v1/categories/all,10,0,0
1716099673626,9,HTTP Request,200,,Thread Group 3 3-7,text,true,,6335,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099674537,35,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,35,0,0
1716099674572,10,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099674582,16,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,16,0,0
1716099674598,9,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099674608,10,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099674618,10,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099674628,9,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099674637,8,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099674645,9,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099674654,8,HTTP Request,200,,Thread Group 3 3-8,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099675537,12,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,12,0,1
1716099675549,9,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099675558,19,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,19,0,0
1716099675578,9,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099675587,10,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099675597,10,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099675607,11,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099675618,9,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099675627,8,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099675635,8,HTTP Request,200,,Thread Group 3 3-9,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099676538,12,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,12,0,0
1716099676550,8,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099676558,11,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099676570,11,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099676581,10,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,10,0,0
1716099676591,8,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,8,0,0
1716099676599,21,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,21,0,0
1716099676621,10,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,9,0,0
1716099676631,7,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,7,0,0
1716099676639,7,HTTP Request,200,,Thread Group 3 3-10,text,true,,6535,385,1,1,http://localhost:8080/api/v1/categories/all,7,0,0
1716099815824,59,HTTP Request,401,,Thread Group 3 3-1,text,false,,518,385,1,3,http://localhost:8080/api/v1/categories/all,58,0,24
1716099815885,16,HTTP Request,200,,Thread Group 3 3-1,text,true,,8035,385,1,3,http://localhost:8080/api/v1/categories/all,16,0,0
1716099815902,13,HTTP Request,200,,Thread Group 3 3-1,text,true,,8085,385,1,2,http://localhost:8080/api/v1/categories/all,13,0,0
1716099815915,8,HTTP Request,401,,Thread Group 3 3-1,text,false,,518,385,1,2,http://localhost:8080/api/v1/categories/all,7,0,0
1716099815923,16,HTTP Request,200,,Thread Group 3 3-1,text,true,,8085,385,1,2,http://localhost:8080/api/v1/categories/all,16,0,0
1716099815940,21,HTTP Request,200,,Thread Group 3 3-1,text,true,,8135,385,1,2,http://localhost:8080/api/v1/categories/all,21,0,0
1716099815962,11,HTTP Request,200,,Thread Group 3 3-1,text,true,,8135,385,1,2,http://localhost:8080/api/v1/categories/all,11,0,0
1716099815973,12,HTTP Request,200,,Thread Group 3 3-1,text,true,,8185,385,1,2,http://localhost:8080/api/v1/categories/all,12,0,0
1716099815986,9,HTTP Request,200,,Thread Group 3 3-1,text,true,,8235,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099815996,9,HTTP Request,200,,Thread Group 3 3-1,text,true,,8235,385,1,2,http://localhost:8080/api/v1/categories/all,9,0,0
1716099816763,14,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,14,0,1
1716099816778,13,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,13,0,0
1716099816791,11,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099816803,11,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,11,0,0
1716099816814,19,HTTP Request,200,,Thread Group 3 3-2,text,true,,8435,385,1,1,http://localhost:8080/api/v1/categories/all,19,0,0
